Eccentricity,Semimajor Axis (m),Inclination (deg),RAAN (deg),Argument of Periapsis (deg),Mean Anomaly (deg),True Anomaly (deg),Latitude (deg),Longitude (deg),Altitude (m),X (m),Y (m),Z (m),Vx (m/s),Vy (m/s),Vz (m/s)
0.0002390260935822,42164522.88646623,0.1396834263791232,95.38571055335356,60.4917270510038,107.76308144236366,107.78916363271922,0.0129931726216758,-76.18530344413958,35789462.81435162,-4651638.215666961,-41910240.99104285,20880.47096716273,3055.572921828767,-339.8472738815706,-7.3386537970702355
0.0002211882655095,42164237.62971976,0.1398450233881175,95.38734580207974,55.24426939462053,143.0938790306874,143.10909626754938,0.0047687766164913,-76.19332846545673,35793558.822010905,16978213.598529935,-38602993.93901168,-32410.47780225569,2814.1280159326748,1237.2584624710703,-7.121802392799335
0.0001973245169851,42164952.06439591,0.13987880346491,95.39383139953388,50.9489083456162,177.46705706663727,177.46805611836265,-0.0047887354175206,-76.2053800774446,35795127.11754365,34036749.38615635,-24901364.752230026,-77013.08921506089,1815.085036064114,2480.9422448530668,-4.980988293469967
0.0001790005552976,42165867.360460326,0.1398482183781861,95.36452448211452,45.97786342922833,-147.45048298431212,212.53848308587388,-0.0130449002635048,-76.21744010577352,35794092.92253575,41931827.31861422,-4495404.180543814,-100873.7896641108,327.39439371429023,3056.6505144652056,-1.493126710738659
0.0001770625116036,42166158.89019687,0.1398623184835377,95.29535140567484,43.6188411165325,-114.94168997127734,245.03991416235263,-0.017724157782546,-76.22633797418982,35791171.37842501,38537187.646056935,17120929.463657144,-97527.3072173082,-1248.6520973593265,2809.366275402784,2.4021210988005386
0.000185020872581,42165660.73065232,0.1399929740332896,95.21672996644271,47.04303349822986,-88.20630931438824,271.77249909106223,-0.0175253306036263,-76.23031492716892,35787280.98146419,24764916.0264729,34126482.46334248,-67839.9899568632,-2488.7668686479315,1805.357794585689,5.654650929637281
0.0001945264702153,42164843.84427257,0.1402199646183381,95.17110216139103,53.84922323477483,-64.88422070003365,295.09559370504024,-0.0124777112139143,-76.22879212207488,35783226.74882,4322197.162820322,41939227.61920429,-19785.481959683435,-3058.7352225163145,314.6878797549198,7.385778403520535
0.0002055377107939,42164594.37408728,0.1404352531467136,95.17583069219734,58.73021673171671,-39.686166272323966,320.29879030329744,-0.0039429877958598,-76.2220088897742,35779788.829110585,-17284710.432603683,38451636.64124674,33690.87187871165,-2804.6080982425715,-1261.1712161655985,7.125105733756357
0.0002226614704296,42164887.9664305,0.1405189033037459,95.19541687158092,63.54856340033659,-14.439829625384226,345.55380612742863,0.0057390415036185,-76.21119630644526,35777659.18285369,-34232981.7825077,24600975.64814196,78148.77019891968,-1794.5142669804973,-2497.427771778124,4.9376416988680045
0.0002437853635446,42165752.7542598,0.1404844921996609,95.1572846072301,67.51853071426787,11.711144961822736,11.71681698935423,0.0138752237251119,-76.19848541701126,35777550.447997026,-41953841.902155645,4119080.325343358,101543.24232488772,-300.6435770282935,-3060.6054017033216,1.4087384630392363
0.000256159755845,42166425.63942646,0.1405175404608943,95.02789677838136,70.31487990326603,39.12488901954801,39.14341621241678,0.0181603955345109,-76.187058059024,35779910.36145163,-38366283.11705852,-17473401.87923053,97486.91377260764,1274.1301083710205,-2798.8162488638686,-2.511204184338645
0.0002513202305338,42166169.3058885,0.1407823730941989,94.87368893499294,69.54050014792053,70.13354998493168,70.16063813537485,0.0173418829970548,-76.18055631885166,35784433.42519201,-24438998.30251976,-34357142.15464014,67004.69989185312,2505.1841535900357,-1782.8963375994638,-5.761095081013894
0.000239309909076,42165235.084701926,0.1411876081068921,94.79429344570865,64.47804108635293,105.35719760150614,105.38363922621096,0.0116082493832021,-76.18154360875174,35789772.67215122,-3927314.392610192,-41984621.8651173,18290.69671364906,3060.98770239755,-287.0458728035416,-7.457357076428388
0.0002278499697354,42164653.2427934,0.1414885790616804,94.80133482240969,58.51797419156871,141.39416194947998,141.41044970181696,0.0025518268452094,-76.18989433143534,35794024.71925962,17642211.449011676,-38304599.4532923,-35496.2395080292,2792.3468706372096,1285.6158340871373,-7.137085052635168
0.0002124599582032,42164952.40482286,0.1415753970087017,94.82148506237948,53.30024443659818,176.67597549725485,176.6773867751037,-0.0072938448158627,-76.20267294033276,35795758.703966394,34461710.50502534,-24310936.20870748,-79803.15698279781,1772.0047839550089,2511.836996152864,-4.884740875929945
0.0001991149282617,42165699.13623647,0.1415444355421231,94.78735111410086,47.76647420184354,-147.67336508240652,212.31443626028155,-0.0151765455941189,-76.21566251452198,35794657.19567529,42003625.41525441,-3772199.60192809,-102626.91060499236,274.6373211886163,3061.79419226055,-1.307371642001803
0.0001979902961469,42166168.94942112,0.1415713719472818,94.69147412314116,43.872178344285466,-113.60198140770213,246.37723051384725,-0.0188868329268227,-76.22517424863615,35791375.914889194,38236805.308819726,17782153.49155046,-97756.13491193678,-1296.9005548685975,2787.405476796025,2.630444274531283
0.0002053218064989,42166039.98589132,0.1417686145570363,94.58116603900216,44.555870974294045,-84.0944781883713,275.88211791443763,-0.0173600525930607,-76.22903502732808,35787013.979302615,24173306.554867715,34547746.54922888,-66449.35594046976,-2519.55351300622,1762.1945691270184,5.866040806689646
